NameR366,MasterID_...2,SampleIDNO,Watersourcetype,watersourcetype2,Dateofvisit2,Division,Parish,Villagetown,Sampletaken,Riskofcontamination10,Topography,LandcoverUnDevelopedorDeveloped,Turbidity,pH,Temp_°C,Electricalconductivity,functionalV1,knownfunctionalproblem,SampleIDNO_R366,MasterID__A,NameR366_A,MasterID__B,__1_1WaterSourceNameNyingwangpii,InterviewersCode,CompletedDateddmmNinodweemakitye,_1_1_WaterSourceIdentificationN,MasterID__C,_1_1name,_1_1subcounty,_1_1Parish,_1_2_a_WUCmgmt,_1_2_b_privmgt,_1_2_c_NGOmgmt,_1_2_d_Unmanaged,_1_7Acholi,_1_7English,_1_7LangOther,_1_9_Positionrespond,_2_1_responsible,_2_2_a_Caretaker,_2_2_b_ caretakerpaid,_2_2_c_ caretakerwage,_2_2_d_caretakerhours,_2_3_inspectorvisits,_2_4WUCAdmin,_2_4WUCfeecollect,_2_4WUCfinmgmt,_2_4WUCtechnical,_2_4WUCother,_2_5_meetatt,_2_6_meetsched,_2_7_ meetmonth,_2_8_meetcommunity,_2_9_meetminutes,_2_10_minutesviewed,_2_11_WUCpay80,_2_12_a_ pubmeet,_2_12_b_pubmeetyear,_2_13_a_meetaccount,_2_13_b_meetaccountyr,_3_1_a_functional,functionalinferred,_3_1_b_openallday,_3_1_c_opentimes,_3_1_d_primaryuse,_3_1_e_whynffees,_3_1_e_whynffinmgmt,_3_1_e_whynfctech,_3_1_e_whynfadmin,_3_1_e_whynfother,_3_1_e_whynfotherB,_3_1_f_Howlongnf,_3_2_firstdaylastbreak,_3_3_a_lengthbreakdown,_3_3_b_costrepair,_3_3_d_nowater,_3_3_d_notenoughwater,_3_3_d_contaminated,_3_3_d_otherproblem,_3_4_a_breaklastyear,_3_4_b_breaklast2weeks,_3_5_a_pplcantaccess,_3_5_b_pplcantafford,_3_5_c_useunimproved,_3_5_c_neighborhelp,_3_5_c_dontknow,_3_5_c_other,_3_6_enoughwater,_4_0_yearbuilt,_4_1_datebuilt,_4_2_regularuserhhs,_4_3_a_authorizedlist,_4_3_b_authorizedhhs,AuthorizedusersdividedbyAllUsers,_4_3_c_updateduserlist,_4_3_d_listshown,__4_3_e_Howmanyhouseholdsareonth,VerifiedusersdividedbyAllUsers,_4_4_feecollectionsystem,_4_5_feeregular,_4_6_a_monthlyfee,_4_6_a_perJCfee,_4_6_a_otherfeetype,_4_6_a_otherfeetypeB,_4_6_b_percentfeesmonthly,_4_6_b_percentfeesperJC,_4_6_b_percentfeesother,_4_6_b_percentfeesdontknow,_4_7_HHswhopaid,_4_8_idealfeecollection,Idealfeesdividedbyallusers,_4_9_actualmonthlyfees,Actualfeesdividedbyidealfees,reportedfeesdividedbyallusers,_4_10_knownHHscantpay,_4_11_a_feecollectrecords,_4_11_b_feerecordsshown,_4_11_c_recordedfeeslastmonth,verifiedfeesdividedbyallusers,_4_12_reactive,_4_13_reportedsavings,_4_14_a_finmgmtrecords,_4_24_b_finmgmtrecshown,_4_14_b_namenumber,_4_14_c_verifiedsavings,__4_14_cDateofrecord,__4_15_savingsstorage,_4_15_savingsstorageother,_4_16_fencing,_4_16_sanitation,_4_16_dontknow,_4_16_fundsaccumulate,_4_16_preventmaint,_4_16_refunds,_4_16_neverrepair,_4_16_othernonwash,_4_16_othernonwashB,_4_17_planOandM,_4_18_enoughfundsrepair,_4_19_personrepair,_4_20_persontrained,_5_0_latrineaccess,_5_1_a_facilitator,_5_1_b_facilitatoryear,_5_1_b_facilitatordate,_5_1_c_whofacilitated,_5_1_c_whofacilitatedother,_5_2_a_ODFdeclaration,_5_2_b_ODFwhen,_6_1_irritated,_6_2_trustworthy,_6_3_interviewquality,_6_4_familypresent,_6_4_nonfamilypresent,_6_4_Totalpresent,_6_5_comments,TTC,TTCGE1,TTCGE10,TTCGE50,TTCGE100,TTCGE125,Unmanaged,MasterID_...165,Superclean_ID,latitude,longitude,OBJECTID2,Proxalt,ProxNWSC,Proxaltfunc,ProxaltfuncNWSC,Proxbore,Proxfuncbore,Proxprotect,Proxfuncprotect,ProxfuncprotectNWSC,ProxTC,Proxmarsh,ProxfunctTTC<125,ProxfunctprotectTTC<125,ProxfunctprotectTTC<125NWSC,Avgprox3func,Avgprox3funcNWSC,Avgprox3funcprotect,Avgprox3funcprotectNWSC
Luki Martha,185,197,DWWHP,4,4/13/18,Bardege,kasubi,keyi A,1,2,0,1,1,5.59,26.1,102us/51ppm,1,0,197,185,Luki Martha,185,MARTHA LUKI,5,9-Jan,185,185,MARTHA LUKI,4,4,NA,NA,1,0,1,NA,NA,7,6,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,Get water from a neighborGamo ki bot girani,NA,NA,1,2018,1/3/18,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,10,NA,NA,NA,100,NA,NA,NA,NA,NA,45000,NA,NA,NA,0,NA,NA,NA,4,1.00E+05,0,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0,0,1,1,99,0,NA,NA,NA,NA,0,NA,0,1,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,0,185,116,2.78505,32.29046667,133,296.1684754,63.49525424,296.1684754,63.49525424,324.9639569,324.9639569,296.1684754,296.1684754,296.1684754,1703.60085,159.2948211,324.9639569,324.9639569,324.9639569,323.9783688,165.8620573,331.3281365,165.8620573
Bwonagweno BH,186,198,BHWHP,1,4/13/18,Bardege,Kasubi,keyi A,1,5,2,0,0,6.02,26.8,180us/90ppm,1,0,198,186,Bwonagweno BH,186,BWONAGWENO BH,5,9-Mar,186,186,BWONAGWENO BH,NA,NA,1,NA,NA,0,1,1,NA,2,2,1,1,NA,NA,1,1,1,1,1,NA,5,1,0.3,60,1,0,1,1,4,0,NA,1,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,15/12/2017,90,515000,NA,1,NA,NA,1,0,18,30,NA,Get water from a neighborGamo ki bot girani,NA,"SEND THEIR GRAND CHILDREN, AND GIVE THEM FOR FREE",1,2001,4/7/01,180,1,56,0.311111111,1,1,NA,NA,1,1,1000,NA,NA,NA,100,NA,NA,NA,32,NA,NA,35000,NA,194.4444427,71,1,NA,NA,NA,4,28000,1,0,NA,NA,NA,0,NA,NA,1,NA,1,1,NA,NA,1,NA,1,0,0,0,80,1,2018,15/3/2018,GovernmentGamente,NA,Don’t knowPe angeyo,NA,0,1,1,1,0,1,THE COMMITTEE WAS IN THE PROCESS OF ELECTING A NEW TREASURER BUT CURRENTLY THE CHAIRPERSON IS ACTING,0,0,0,0,0,0,0,186,162,2.7876,32.29668333,176,245.3655528,76.15010123,245.3655528,76.15010123,339.1435173,339.1435173,245.3655528,245.3655528,245.3655528,1776.642565,551.2638293,339.1435173,339.1435173,339.1435173,404.4301121,158.7500723,404.4301121,158.7500723
wang labongo,187,199,PS,5,5/8/18,layibi,techo,techo,1,10,2,0,0,5.25,25.6,169us/79ppm,1,0,199,187,wang labongo,187,WANG LABONGO,5,9-Aug,187,187,WANG LABONGO,3,3,NA,1,NA,0,1,NA,NA,7,6,1,0,NA,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,SEND SOMEONE,0,2002,8/9/02,150,1,97,0.646666667,1,1,97,0.646666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,97,NA,NA,NA,NA,NA,1,Don't knowPe angeyo,0,1,0,1,0,1,FINE ARE PAID BY THOSE WHO DO NOT PARTICIPATE IN COMMUNAL CLEANING,0,0,0,0,0,0,0,187,72,2.7531,32.28035,92,93.42772661,482.227156,93.42772661,93.42772661,95.07496253,95.07496253,93.42772661,93.42772661,93.42772661,2851.823097,393.7782775,93.42772661,93.42772661,93.42772661,118.8394805,118.8394805,118.8394805,118.8394805
Gulu Prison P/S BH,188,200,BHWHP,1,4/15/18,layibi,Prison barracks,prison,1,7,2,0,0,5.94,26.5,144us/72ppm,1,0,200,188,Gulu Prison P/S BH,188,GULU PRISON BH,6,29/8,188,188,GULU PRISON BH,3,3,NA,NA,1,0,NA,1,NA,8,9,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,1/3/18,1,4.00E+05,1,NA,NA,NA,1,0,Don’t knowPe angeyo,Don’t knowPe angeyo,NA,NA,NA,NA,1,NA,Don’t knowPe angeyo,1000,0,1000,1,1,1,NA,NA,1,1,NA,5,NA,NA,NA,100,NA,NA,NA,NA,NA,30000,NA,30,NA,0,NA,NA,NA,4,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,0,100,1,Don't know Pe angeyo,Don't know Pe angeyo,NGODul ma pe jenge ikom gamente,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,188,112,2.767383333,32.29025,130,104.0001404,97.66534178,104.0001404,97.66534178,135.2130633,135.2130633,104.0001404,104.0001404,104.0001404,981.9254046,810.7235554,320.8574116,320.8574116,320.8574116,160.9758608,112.2928485,186.6902051,112.2928485
orach julius emmanueal,189,201,BHWHP,1,4/15/18,bardege,kanyagoga,kanyagoga B,1,2,2,0,0,6.69,25,295us/147ppm,1,0,201,189,orach julius emmanueal,189,ORACH JULIUS EMMANUEL BH,5,9-Jun,189,189,ORACH JULIUS EMMANUEL BH,4,4,NA,1,NA,0,1,1,NA,7,6,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2017,6/12/17,5,0,NA,NA,NA,NA,NA,NA,1,1,NA,10,NA,NA,NA,100,NA,NA,2,NA,NA,20000,NA,4000,0,0,NA,NA,NA,4,30000,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,BUYING FOOD,0,0,1,1,100,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,189,96,2.768316667,32.28703333,115,372.882618,73.17826565,372.882618,73.17826565,372.882618,372.882618,372.882618,372.882618,372.882618,1271.067845,860.2485262,372.882618,372.882618,372.882618,446.8766495,109.0716334,446.8766495,109.0716334
Gulu primary BH,190,202,BHWHP,1,4/15/18,bardege,kanyagoga,kanyagoga B,1,4,0,1,1,6.3,27.8,204us/102ppm,1,1,202,190,Gulu primary BH,190,GULU PRIMARY SCHOOL BH,1,31/8,190,190,GULU PRIMARY SCHOOL BH,4,4,NA,NA,1,0,NA,1,NA,8,9,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,Aug-18,20,NA,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,0,2009,3/2/09,195,0,NA,NA,NA,NA,NA,NA,1,1,2000,NA,NA,NA,100,NA,NA,NA,19,NA,NA,30000,NA,153.8461609,NA,0,NA,NA,NA,4,56000,0,NA,NA,NA,NA,5,SAVED WITH THE COMPOUND TEACHER,NA,1,NA,1,1,NA,NA,NA,NA,1,0,0,0,100,1,2013,2013,NA,NA,0,NA,0,1,1,0,0,0,THE RESPONSIBLE MANAGER IS NEW AND SO CAN'T ATTEND TO ALL THE QUESTIONS,0,0,0,0,0,0,0,190,50,2.7635,32.27218333,72,103.78148,19.58064267,103.78148,19.58064267,103.78148,103.78148,103.78148,103.78148,103.78148,3009.079926,385.2133253,103.78148,103.78148,103.78148,285.5862576,153.9175079,285.5862576,153.9175079
Gulu Primary Mechanised BH,191,203,BHWMP,2,4/15/18,bardege,kanyagoga,kanyagoga B,1,2,2,0,0,6.96,24.5,294us/148ppm,1,0,203,191,Gulu Primary Mechanised BH,191,GULU PRIMARY MECHANIZED BH,1,31/8,191,191,GULU PRIMARY MECHANIZED BH,4,4,NA,NA,1,0,NA,1,NA,8,9,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Don’t knowPe angeyo,120,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,100,1,2013,2013,NGODul ma pe jenge ikom gamente,NA,0,NA,0,1,0,0,0,0,THE MECHANIZED PUMP SEEM NOT TO BELONG TO THE SCHOOL RATHER TO THE DIOCESE OF NORTHERN UGANDA,0,0,0,0,0,0,0,191,53,2.764183333,32.27281667,74,103.78148,121.3834666,103.78148,103.78148,103.78148,103.78148,103.78148,103.78148,103.78148,2919.211238,378.0717949,103.78148,103.78148,103.78148,277.5749441,192.9289636,277.5749441,192.9289636
mama cave P/S BH,192,204,DWWHP,4,4/15/18,bardege,kanyagoga,kanyagoga B,1,6,2,0,0,6.3,25.2,199us/100ppm,1,0,204,192,mama cave P/S BH,192,MAMA CAVE P/S BH,1,9-Apr,192,192,MAMA CAVE P/S BH,4,4,NA,NA,1,0,NA,1,NA,8,9,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Don’t knowPe angeyo,120,NA,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,Don’t knowPe angeyo,84,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,100,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,NA,22.5,1,1,0,0,0,0,192,51,2.767383333,32.2725,3,13.4997963,415.2784748,13.4997963,13.4997963,13.4997963,13.4997963,13.4997963,13.4997963,13.4997963,2872.141526,41.37070041,13.4997963,13.4997963,13.4997963,223.3643078,223.3643078,223.3643078,223.3643078
mama cave Mechanised BH,193,205,BHWMP,2,4/15/18,bardege,kanyagoga,kanyagoga B,1,5,2,0,0,8.26,22.5,24us/12ppm,1,0,205,193,mama cave Mechanised BH,193,MAMA CAVE MECHANIZED BH,1,9-Apr,193,193,MAMA CAVE MECHANIZED BH,4,4,NA,NA,1,0,NA,1,NA,8,9,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,Don’t knowPe angeyo,84,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,100,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,NA,3,1,0,0,0,0,0,193,52,2.76735,32.27261667,73,13.4997963,416.6404037,305.124713,305.124713,353.621944,353.621944,13.4997963,305.124713,305.124713,2859.974153,53.6632608,305.124713,305.124713,305.124713,362.6308925,358.4623536,362.6308925,358.4623536
janani Luwum BH,194,206,BHWHP,1,4/16/18,bardege,For God,Mican,1,3,2,0,0,5.98,25.7,212us/106ppm,1,0,206,194,janani Luwum BH,194,JANANI LUWUM BH,1,31/08,194,194,JANANI LUWUM BH,4,4,NA,1,NA,0,1,NA,NA,8,8,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,15/4/2018,45,85000,1,NA,NA,NA,0,0,Don’t knowPe angeyo,60,NA,NA,NA,FETCH ILLEGALLY,1,2010,15/9/2010,10,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,100,0,NA,NA,NA,NA,1,Don't knowPe angeyo,0,1,0,0,2,2,"There is in consistence and confusion about the founders of the construction. the respondent says it was the diocese where as the inscription at the site says it   was funded by Red Cross    the borehole originally was constructed by the diocese but after a breakdown, the diocese left the management and ingored the borehole and now its an individual effort to see that the borehole works and he is the person interviewed. if not for the fact that the water point is still within the premise of the diocese, l would name it a private water point because the community and diocese have no contribution towards its management.",0,0,0,0,0,0,1,194,48,2.765016667,32.26955,70,158.9549851,58.72362935,158.9549851,58.72362935,158.9549851,158.9549851,158.9549851,158.9549851,158.9549851,3246.620135,387.0125506,158.9549851,158.9549851,158.9549851,159.1548977,118.584861,213.7081164,118.584861
st joseph RWHT,195,207,RWHT,7,4/16/18,bardege,For God,Mican,1,0,2,0,0,7.41,23.3,459us/229ppm,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0,0,0,0,195,41,2.768766667,32.26738333,63,0,61.42781589,0,0,189.9047964,189.9047964,0,0,0,3416.762642,483.7708746,189.9047964,189.9047964,189.9047964,169.9345052,75.59816851,212.7785581,75.59816851
st joseph prmary school BH,196,208,BHWHP,1,4/16/18,bardege,For God,Mission,1,0,2,0,0,7.85,22.3,11us/5 ppm,1,0,208,196,st joseph prmary school BH,196,ST JOSEPH PRIMARY SCHOOL BH,1,31/8,196,196,ST JOSEPH PRIMARY SCHOOL BH,4,4,NA,NA,1,0,1,1,NA,8,9,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,15/5/2018,7,65000,1,NA,NA,NA,1,0,0,Don’t knowPe angeyo,NA,NA,NA,NA,1,NA,Don’t knowPe angeyo,15,1,15,1,1,1,NA,NA,1,1,1500,NA,NA,NA,100,NA,NA,NA,15,NA,NA,15000,NA,1000,NA,1,Records do not existPe tye,NA,NA,4,54000,0,NA,NA,NA,NA,5,KEPT AT THE SCHOOL,NA,NA,NA,1,1,NA,NA,1,NA,1,0,0,0,95,1,2016,2016,NGODul ma pe jenge ikom gamente,NA,0,NA,0,1,0,0,0,0,COMPLAINS ABOUT INABILITY TO REPLACE PIPES WITH PROBLEMS AND SO REQUESTED ORGANIZATION TO GIVE A HELPING HAND,NA,NA,NA,NA,NA,NA,0,196,40,2.768766667,32.26738333,62,0,61.42781589,0,0,189.9047964,189.9047964,0,0,0,3416.762642,483.7708746,189.9047964,189.9047964,189.9047964,169.9345052,75.59816851,212.7785581,75.59816851
st joseph carpentry work shop,197,209,BHWMP,2,4/16/18,bardege,For God,Mission,1,2,2,0,0,6.04,25.1,378us/189,1,0,209,197,st joseph carpentry work shop,197,ST JOSEPH CARPENTRY WORKSHOP,1,30/08,197,197,ST JOSEPH CARPENTRY WORKSHOP,4,4,NA,NA,1,0,NA,1,NA,8,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,15/5/2017,2,1500000,1,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,1,NA,Don’t knowPe angeyo,6,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,100,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,NA,9,1,0,0,0,0,0,197,34,2.752683333,32.26486667,57,639.6110513,1344.255409,639.6110513,639.6110513,897.1376608,897.1376608,639.6110513,639.6110513,639.6110513,4248.111651,403.055772,639.6110513,639.6110513,639.6110513,797.947347,797.947347,797.947347,797.947347
st joseph technical school RWHT,198,210,RWHT,7,4/16/18,bardege,For God,Mission,1,6,0,0,0,5.99,27.2,359us/179 ppm,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,1,0,0,0,0,198,32,2.7661,32.26436667,55,365.0577939,78.5259254,365.0577939,78.5259254,365.0577939,365.0577939,365.0577939,365.0577939,365.0577939,3788.718316,644.647754,365.0577939,365.0577939,365.0577939,395.596729,222.5756578,395.596729,222.5756578
st joseph technical school BH,199,211,BHWHP,1,4/16/18,bardege,For God,Mission,1,5,2,0,0,6.05,26.7,421us/211ppm,1,0,211,199,st joseph technical school BH,199,ST JOSEPH TECHNICAL SCHOOL BOREHOLE,1,9-Mar,199,199,ST JOSEPH TECHNICAL SCHOOL BOREHOLE,4,4,NA,NA,1,0,NA,1,NA,8,9,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,4,NA,NA,NA,NA,NA,NA,NA,15/6/2018,1,550000,NA,1,NA,NA,1,0,Don’t knowPe angeyo,Don’t knowPe angeyo,NA,NA,NA,NA,NA,2003,6/12/03,30,1,24,0.8,1,1,NA,NA,1,1,1500,NA,NA,NA,100,NA,NA,NA,25,30000,1000,30000,1,1000,2,1,1,22500,750,4,NA,1,2,SCHOOL BURSAR,NA,NA,0,NA,NA,1,NA,1,1,NA,NA,NA,NA,0,0,0,0,90,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,THE RECORD THAT WAS SAID TO BE WITH THE BURSAR IS ACTUALLY THE NAME OF THE WATER USERS WHICH WASN'T APPLICABLE  THE GENTLEMAN MANAGING THE WATER POINT IS NEW AND SO KNOWS CLOSE TO LITTLE ABOUT THE BOREHOLE,7.5,1,0,0,0,0,0,199,43,2.767066667,32.2675,65,189.9047964,70.83745813,189.9047964,70.83745813,189.9047964,189.9047964,189.9047964,189.9047964,189.9047964,3427.271562,487.9271996,189.9047964,189.9047964,189.9047964,234.2413677,140.0008161,234.2413677,140.0008161
wang ojara spring,200,212,PS,5,4/18/18,bardege,kasubi central,kasubi central,1,3,2,0,0,5.83,27.5,236us/118ppm,1,0,212,200,wang ojara spring,200,WANG OJARA,5,9-Mar,200,200,WANG OJARA,4,4,NA,1,NA,0,1,NA,NA,7,6,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,11,30,NA,NA,NA,Children fetch for them,1,2016,30/5/2016,NA,1,30,NA,1,1,NA,NA,1,1,1000,NA,NA,NA,100,NA,NA,NA,39,NA,NA,30000,NA,NA,7,1,1,39000,NA,4,0,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,1,0,2,0,2,NA,50,1,1,1,0,0,0,200,87,2.789316667,32.2843,107,165.2808253,22.0748387,165.2808253,22.0748387,165.2808253,165.2808253,165.2808253,165.2808253,165.2808253,2480.968614,12.52856529,165.2808253,165.2808253,165.2808253,244.4683932,88.5183983,244.4683932,88.5183983
Kidega mike BH,201,213,BWHP,1,4/18/18,bardege,Kusubi central,kasubi central,1,0,2,0,0,5.15,26.4,179us/89ppm,NA,NA,213,201,Kidega mike BH,201,KIDEGA MIKE BH,5,9-Apr,201,201,KIDEGA MIKE BH,4,4,NA,1,NA,0,1,1,NA,7,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,30,Don’t knowPe angeyo,NA,NA,NA,NA,1,2017,1/3/17,200,0,NA,NA,NA,NA,NA,NA,1,1,2000,NA,200  PER 20L JERRYCAN,NA,20,80,NA,NA,NA,3.00E+05,1500,250000,0.833333313,1250,100,0,NA,NA,NA,4,NA,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,FOR HOSPITAL TREATMENT AND SCHOOL FEES,1,NA,1,1,99,NA,NA,NA,NA,NA,0,NA,1,2,0,0,0,0,THE RESPONDENT WAS AFRAID THAT THE INFORMATION MIGHT BE SHARED WITH GOVERNMENT OFFICIALS WHO MIGHT START TAXING HIM FOR THE BOREHOLE,0,0,0,0,0,0,0,201,91,2.788,32.28498333,110,165.2808253,57.40392164,165.2808253,57.40392164,733.5172222,733.5172222,165.2808253,165.2808253,165.2808253,2318.550761,69.57183812,165.2808253,165.2808253,165.2808253,311.8480325,111.738937,311.8480325,111.738937
